bench,alloc_type,total,bit_pos,p_one,entropy
cactus,64bits,312498020,30,0.33192305346446677,0.9168790935570497
cactus,64bits,312498020,31,0.3269439339167653,0.9117734864455387
cactus,64bits,312498020,32,0.3391120334138437,0.9239664462686774
cactus,64bits,312498020,33,0.3324881930451911,0.9174483742443379
cactus,64bits,312498020,34,0.31452566323460224,0.8983286707143072
cactus,64bits,312498020,35,0.343233371526642,0.9278792633503723
cactus,64bits,312498020,36,0.3432094961753678,0.9278569096374201
cactus,64bits,312498020,37,0.34581631269215724,0.9302760662470674
cactus,64bits,312498020,38,0.34075460062114954,0.9255389761231804
cactus,64bits,312498020,39,0.3304639562196266,0.9153996924501723
cactus,64bits,312498020,40,0.3289356809364744,0.9138352654938053
cactus,64bits,312498020,41,0.32247700321429235,0.9070547948786527
cactus,64bits,312498020,42,0.33347934812514973,0.9184417796442388
cactus,64bits,312498020,43,0.32173451210986875,0.9062577113618109
cactus,64bits,312498020,44,0.3335992368847649,0.9185615081244509
cactus,64bits,312498020,45,0.3324084197397475,0.9173681422795241
cactus,64bits,312498020,46,0.3208348424095615,0.9052870084451279
cactus,64bits,312498020,47,0.2964578079566712,0.8769177536059563
cactus,64bits,312498020,48,0.31472891892243027,0.8985569766389547
cactus,64bits,312498020,49,0.30900497545552447,0.8920215326840073
cactus,64bits,312498020,50,0.29225624533557043,0.87161798036053
cactus,64bits,312498020,51,0.26812811165971545,0.8387657516777924
cactus,64bits,312498020,52,0.33354283972743254,0.9185051979842564
cactus,64bits,312498020,53,0.3515481378090012,0.9354430794140396
cactus,64bits,312498020,54,0.38603596912390037,0.9621937155668971
cactus,64bits,312498020,55,0.5265819380231593,0.9979602235111222
cactus,64bits,312498020,56,0.6044400985324643,0.9682939751664248
cactus,64bits,312498020,57,0.6047147530726754,0.9681257405010092
cactus,64bits,312498020,58,0.6161180381238895,0.9607376515958945
cactus,64bits,312498020,59,0.6161542527533455,0.9607129295177825
cactus,64bits,312498020,60,0.6161542431532846,0.9607129360723669
